Standard_Name_Suggestion,Aliases_Found,last
海尔集团公司 - 青岛市 - 家用电器制造,海尔集团公司,海尔集团公司
成都恒图科技（Fotor),成都恒图科技(Fotor),成都恒图科技(Fotor)
中国航发动力控制股份有限公司,中国航发动力股份有限公司,中国航发动力股份有限公司
中国奥园地产集团股份有限公司,中国奥园集团股份有限公司,中国奥园集团股份有限公司
像素绽放 PixelBloom,像素绽放,像素绽放
广州市视源电子科技股份有限公司,广州视源电子科技股份有限公司,广州视源电子科技股份有限公司
福建新华都购物广场股份有限公司,新华都购物广场股份有限公司,新华都购物广场股份有限公司
大悦城控股集团股份有限公司,大悦城集团股份有限公司,大悦城控股集团股份有限公司
上海依图网络科技有限公司,依图网络科技有限公司,上海依图网络科技有限公司
国药集团一致药业股份有限公司,国药集团药业股份有限公司,国药集团一致药业股份有限公司
四川路桥建设集团股份有限公司,四川路桥建设股份有限公司,四川路桥建设集团股份有限公司
厦门特房嘉盈物业服务有限公司,厦门特房物业服务有限公司,厦门特房物业服务有限公司
中国葛洲坝集团股份有限公司,中国葛洲坝集团有限公司,中国葛洲坝集团股份有限公司
上海锦江国际酒店(集团)股份有限公司,上海锦江国际酒店发展股份有限公司,上海锦江国际酒店(集团)股份有限公司
仙途智能 Autowise.ai,仙途智能,仙途智能
招商局蛇口工业区控股股份有限公司,招商蛇口工业区控股股份有限公司,招商局蛇口工业区控股股份有限公司
上海东方明珠新媒体股份有限公司,东方明珠新媒体股份有限公司,上海东方明珠新媒体股份有限公司
中铁建设投资集团有限公司,中铁建设集团有限公司,中铁建设集团有限公司
中国金茂控股集团有限公司,中国金茂控股有限公司,中国金茂控股集团有限公司
中国民生银行股份有限公司,中国民生银行股份公司,中国民生银行股份有限公司
北京巴士传媒股份有限公司,北京巴士股份有限公司,北京巴士传媒股份有限公司
北京金隅集团股份有限公司,北京金隅股份有限公司,北京金隅集团股份有限公司
北京小米科技有限责任公司,小米科技有限责任公司,小米科技有限责任公司
华润双鹤约业股份有限公司,华润双鹤药业股份有限公司,华润双鹤药业股份有限公司
北京城建集团有限责任公司,北京建工集团有限责任公司,北京城建集团有限责任公司
北京首都开发控股（集团）有限公司,北京首都开发股份有限公司,北京首都开发控股（集团）有限公司
海南航空控股股份有限公司,海南航空股份有限公司,海南航空控股股份有限公司
深圳华控赛格股份有限公司,深圳赛格股份有限公司,深圳华控赛格股份有限公司
武汉中商集团股份有限公司,武汉武商集团股份有限公司,武汉武商集团股份有限公司
绿地控股集团股份有限公司,绿地控股集团有限公司,绿地控股集团股份有限公司
鲁南制药集团股份有限公司 - 临沂市 - 药品,鲁南制药集团股份有限公司,鲁南制药集团股份有限公司
国联安基金管理有限公司,国联基金管理有限公司,国联安基金管理有限公司
Walmart 沃尔玛 - 美国,沃尔玛,沃尔玛
Apple 苹果公司 - 美国,苹果公司,苹果公司
浪潮 inspur,浪潮,浪潮
华信石油(广东)有限公司,华信石油有限公司,华信石油(广东)有限公司
DeepSeek,Deepseek,DeepSeek
宏达通讯有限公司（HTC),宏达通讯有限公司,宏达通讯有限公司（HTC)
腾讯科技有限公司 - 深圳,腾讯科技（深圳）有限公司,腾讯科技（深圳）有限公司
汉诺威再保险,汉诺威保险,汉诺威再保险
