"F_ID","F_SKILL_ID","F_ALIAS"
100003,100003,Golang
100004,100004,CSS
100005,100005,SQL
100006,100006,PHP
100007,100007,Shell
100008,100008,Python
100009,100009,HTML5
100010,100010,HTML
117717,100012,Microservices Architecture
100012,100012,微服务架构
117718,100013,J2EE Architecture
100013,100013,J2EE架构
117719,100014,SOA Architecture
100014,100014,SOA架构
117720,100015,Socket Technology
100015,100015,Socket技术
117721,100016,Distributed Technology
100016,100016,分布式技术
117722,100017,Network Protocol
100017,100017,网络协议
117723,100018,Multi-process
100018,100018,多进程
117724,100019,Message Queues
100019,100019,消息队列
117725,100020,Data Structure
100020,100020,数据结构
117726,100021,Multithreading
100021,100021,多线程
117727,100023,Game Development
100023,100023,游戏开发
117728,100024,Full stack development
100024,100024,全栈开发
117729,100025,.NET Development
100025,100025,.NET开发
117730,100026,Backend Development
100026,100026,后端开发
117731,100027,Front-end development
100027,100027,前端开发
100029,100029,Linux
100030,100030,Android
100031,100031,Windows
100033,100033,SSM
100034,100034,Netty
100035,100035,Spring
100036,100036,Hibernate
100037,100037,iBATIS
100038,100038,Dubbo
100039,100039,SSH
100040,100040,Struts
100041,100041,Ehcache
100042,100042,SpringMVC
100043,100043,SpringBoot
117746,100044,Spring Cloud
100044,100044,SpringCloud
100046,100046,Eclipse
100047,100047,ActiveMQ
100048,100048,MyEclipse
100049,100049,RabbitMQ
100050,100050,Maven
100052,100052,NoSQL
100053,100053,PostgreSQL
100054,100054,Oracle
100055,100055,MySQL
100056,100056,Memcached
100057,100057,Redis
100058,100058,SQL Server
100059,100059,MongoDB
100060,100060,DB2
100062,100062,Spark
100063,100063,Kafka
100064,100064,Hadoop
100065,100065,Hbase
100067,100067,Docker
100068,100068,Tomcat
100069,100069,Weblogic
100072,100072,Golang
100073,100073,Lua
100074,100074,SQL
100075,100075,Shell
100076,100076,Python
100077,100077,C/C++
117774,100079,Architecture Design
100079,100079,架构设计
117775,100080,Image Processing
100080,100080,图像处理
117776,100081,Embedded Development
100081,100081,嵌入式开发
117777,100083,Audio and video codec
100083,100083,音视频编解码
117778,100084,Streaming Media Technology
100084,100084,流媒体技术
117779,100085,Socket Technology
100085,100085,Socket技术
117780,100086,Distributed Technology
100086,100086,分布式技术
117781,100087,Network Protocol
100087,100087,网络协议
117782,100088,Multi-process
100088,100088,多进程
117783,100089,Message Queues
100089,100089,消息队列
117784,100090,Network Programming
100090,100090,网络编程
117785,100091,Data Structure
100091,100091,数据结构
117786,100092,Multithreading
100092,100092,多线程
117787,100094,Game Development
100094,100094,游戏开发
117788,100095,Server-side Development
100095,100095,服务端开发
117789,100096,Reverse Engineering
100096,100096,逆向开发
117790,100097,Client-side Development
100097,100097,客户端开发
100099,100099,Linux
100100,100100,Unix
100101,100101,RTOS
100102,100102,Windows
100103,100103,FreeRTOS
117796,100104,Embedded Linux
100104,100104,嵌入式Linux
100105,100105,RT-Thread
100106,100106,UCOS
100108,100108,QT
100109,100109,MFC
100111,100111,Makefile
100112,100112,SVN
100113,100113,ActiveX
100114,100114,Cmake
100115,100115,CUDA
100116,100116,STL
100117,100117,WinDbg
100118,100118,OpenCV
100119,100119,OpenGL
117810,100121,Driver Development
100121,100121,驱动开发
117811,100122,ARM Development
100122,100122,ARM开发
100124,100124,Oracle
100125,100125,MySQL
100126,100126,SQL Server
100128,100128,Docker
100129,100129,Kubernetes
100132,100132,C#
100133,100133,Golang
