"公司名","别名"
海尔产业发展有限公司,"海尔产城创,海尔产业发展有限公司"
上坤地产集团有限公司,"上坤地产集团有限公司,上坤集团,上坤地产"
香港恒泰集团公司,"香港恒泰集团公司,恒泰集团,香港恒泰"
山东儒辰控股集团有限公司,"山东儒辰控股集团有限公司,儒辰集团,山东儒辰集团"
实地地产集团有限公司,"实地地产集团有限公司,实地集团,广州实地房地产开发有限公司,实地地产集团"
复地(集团)股份有限公司,"复地(集团)股份有限公司,复地集团,复地房地产,复地,FORTE,复地(集团)股份有限公司(法团名称)SHANGHAI FORTE"
上海景瑞地产(集团)有限公司,"上海景瑞地产(集团)有限公司,景瑞地产,景瑞地产(集团)有限公司,景瑞控股有限公司,中国500强,上海景瑞地产"
中冶置地集团有限公司,"中冶置地集团有限公司,中冶置地"
桂林彰泰实业集团有限公司,"桂林彰泰实业集团有限公司,彰泰集团,桂林彰泰实业开发有限公司,桂林彰泰集团"
厦门大唐房地产集团有限公司,"厦门大唐房地产集团有限公司,大唐地产,厦门大唐房地产有限公司,厦门大唐地产"
郑州康桥房地产开发有限责任公司,"郑州康桥房地产开发有限责任公司,康桥地产,郑州康桥地产"
佳源国际控股有限公司,"佳源国际控股有限公司,佳源国际"
中天城投集团股份有限公司,"中天城投集团股份有限公司,中天城投,中天城投集团有限公司"
力高集团(香港)有限公司,"力高集团(香港)有限公司,力高集团"
星河湾地产控股有限公司,"星河湾地产控股有限公司,星河地产,星河湾地产"
当代置业(中国)有限公司,"当代置业(中国)有限公司,当代置业,LIMITED(法团名称)当代置业(中国)有限公司(其他"
重庆东原房地产开发有限公司,"重庆东原房地产开发有限公司,东原地产,重庆东原房地产开发集团有限公司,重庆东原地产"
河南正商企业发展集团有限责任公司,"正商集团,zensun,河南正商企业发展集团有限责任公司"
上海红星美凯龙地产有限公司,"上海红星美凯龙地产有限公司,红星地产,红星美凯龙房地产有限公司,上海红星美凯龙房地产有限公司"
三盛集团有限公司,"三盛集团有限公司,三盛集团,福建泽盛投资咨询有限责任公司"
花样年控股集团有限公司,"花样年控股集团有限公司,花样年,花样年集团"
中国电建地产集团有限公司,"中国电建地产,电建地产,中国电建地产集团有限公司,电建地产集团"
敏捷集团有限公司,"敏捷集团有限公司,敏捷集团,敏捷有限公司"
隆基泰和置业有限公司,"隆基泰和置业有限公司,隆基泰和,保定隆远房地产开发有限公司,隆基泰和置业"
路劲地产集团有限公司,"路劲地产集团有限公司,路劲集团,路劲地产集团,RK Properties Holdings Limited(法团名称)路劲地产,路劲地产"
首创置业有限公司,"首创置业有限公司,首创置业"
四川新希望地产开发有限公司,"四川新希望地产开发有限公司,新希望地产"
北京金隅集团股份有限公司,"北京金隅集团股份有限公司,金隅集团,北京金隅集团"
大悦城集团股份有限公司,"大悦城集团股份有限公司,大悦城集团"
合景泰富集团控股有限公司,"合景泰富集团控股有限公司,合景泰富,合景泰富集团"
中骏集团控股有限公司,"中骏集团控股有限公司,中骏集团,CHUNG CHUN PROPERTY HOLDINGS LIMITED 中骏置业控股"
海伦堡中国控股有限公司,"海伦堡中国控股有限公司,海伦堡,海伦堡中国"
金辉集团股份有限公司,"福建金辉集团有限公司,金辉集团,金辉集团股份有限公司,金辉集团有限公司"
新力控股(集团)有限公司,"新力控股(集团)有限公司,新力地产,新力集团"
时代中国控股有限公司,"时代中国控股有限公司,时代中国,时代中国产业集团,TIMES CHINA"
祥生控股(集团)有限公司,"祥生控股(集团)有限公司,祥生集团,祥生控股"
建业地产股份有限公司,"建业地产股份有限公司,建业地产"
中国奥园集团股份有限公司,"中国奥园集团股份有限公司,奥园集团,奥园集团有限公司,China Aoyuan Property Group Limited(法团名称),中国奥园"
佳兆业集团控股有限公司,"佳兆业集团控股,佳兆业,佳兆业地产集团,佳兆业集团控股有限公司"
美的置业集团有限公司,"美的置业集团有限公司,美的置业,广东美的置业有限公司"
中梁控股有限责任公司,"中梁控股有限责任公司,中梁控股"
正荣地产集团有限公司,"正荣地产集团有限公司,正荣集团,正荣集团有限公司,正荣地产,ZHENRO"
建发房地产集团有限公司,"建发房地产集团有限公司,建发房产,建发地产"
龙光集团有限公司,"龙光集团有限公司,龙光集团,佛山市龙光房地产有限公司"
重庆市金科实业(集团)有限公司,"重庆市金科事业(集团)有限公司,金科集团,重庆市金科实业(集团)有限公司"
