一级,二级,技能名,技能id,技能编码,别名
Java,计算机语言方向,Golang,100003,0/100001/100002/100003,Golang
Java,计算机语言方向,CSS,100004,0/100001/100002/100004,CSS
Java,计算机语言方向,SQL,100005,0/100001/100002/100005,SQL
Java,计算机语言方向,PHP,100006,0/100001/100002/100006,PHP
Java,计算机语言方向,Shell,100007,0/100001/100002/100007,Shell
Java,计算机语言方向,Python,100008,0/100001/100002/100008,Python
Java,计算机语言方向,HTML5,100009,0/100001/100002/100009,HTML5
Java,计算机语言方向,HTML,100010,0/100001/100002/100010,HTML
Java,技术类型,微服务架构,100012,0/100001/100011/100012,"微服务架构,Microservices Architecture"
Java,技术类型,J2EE,100013,0/100001/100011/100013,"J2EE架构,J2EE Architecture"
Java,技术类型,SOA,100014,0/100001/100011/100014,"SOA架构,SOA Architecture"
Java,技术类型,Socket,100015,0/100001/100011/100015,"Socket技术,Socket Technology"
Java,技术类型,分布式技术,100016,0/100001/100011/100016,"分布式技术,Distributed Technology"
Java,技术类型,网络协议,100017,0/100001/100011/100017,"网络协议,Network Protocol"
Java,技术类型,多进程,100018,0/100001/100011/100018,"多进程,Multi-process"
Java,技术类型,消息队列,100019,0/100001/100011/100019,"消息队列,Message Queues"
Java,技术类型,数据结构,100020,0/100001/100011/100020,"数据结构,Data Structure"
Java,技术类型,多线程,100021,0/100001/100011/100021,"多线程,Multithreading"
Java,软件开发方向,游戏开发,100023,0/100001/100022/100023,"游戏开发,Game Development"
Java,软件开发方向,全栈开发,100024,0/100001/100022/100024,"全栈开发,Full stack development"
Java,软件开发方向,.NET开发,100025,0/100001/100022/100025,".NET开发,.NET Development"
Java,软件开发方向,后端开发,100026,0/100001/100022/100026,"后端开发,Backend Development"
Java,软件开发方向,前端开发,100027,0/100001/100022/100027,"前端开发,Front-end development"
Java,系统类型,Linux,100029,0/100001/100028/100029,Linux
Java,系统类型,Android,100030,0/100001/100028/100030,Android
Java,系统类型,Windows,100031,0/100001/100028/100031,Windows
Java,后端框架,SSM,100033,0/100001/100032/100033,SSM
Java,后端框架,Netty,100034,0/100001/100032/100034,Netty
Java,后端框架,Spring,100035,0/100001/100032/100035,Spring
Java,后端框架,Hibernate,100036,0/100001/100032/100036,Hibernate
Java,后端框架,iBATIS,100037,0/100001/100032/100037,iBATIS
Java,后端框架,Dubbo,100038,0/100001/100032/100038,Dubbo
Java,后端框架,SSH,100039,0/100001/100032/100039,SSH
Java,后端框架,Struts,100040,0/100001/100032/100040,Struts
Java,后端框架,Ehcache,100041,0/100001/100032/100041,Ehcache
Java,后端框架,SpringMVC,100042,0/100001/100032/100042,SpringMVC
Java,后端框架,SpringBoot,100043,0/100001/100032/100043,SpringBoot
Java,后端框架,SpringCloud,100044,0/100001/100032/100044,"SpringCloud,Spring Cloud"
Java,软件开发工具,Eclipse,100046,0/100001/100045/100046,Eclipse
Java,软件开发工具,ActiveMQ,100047,0/100001/100045/100047,ActiveMQ
Java,软件开发工具,MyEclipse,100048,0/100001/100045/100048,MyEclipse
Java,软件开发工具,RabbitMQ,100049,0/100001/100045/100049,RabbitMQ
Java,软件开发工具,Maven,100050,0/100001/100045/100050,Maven
Java,数据库类型,NoSQL,100052,0/100001/100051/100052,NoSQL
Java,数据库类型,PostgreSQL,100053,0/100001/100051/100053,PostgreSQL
Java,数据库类型,Oracle,100054,0/100001/100051/100054,Oracle
Java,数据库类型,MySQL,100055,0/100001/100051/100055,MySQL
Java,数据库类型,Memcached,100056,0/100001/100051/100056,Memcached
Java,数据库类型,Redis,100057,0/100001/100051/100057,Redis
Java,数据库类型,SQL Server,100058,0/100001/100051/100058,SQL Server
Java,数据库类型,MongoDB,100059,0/100001/100051/100059,MongoDB
Java,数据库类型,DB2,100060,0/100001/100051/100060,DB2
Java,Hadoop组件/工具,Spark,100062,0/100001/100061/100062,Spark
Java,Hadoop组件/工具,Kafka,100063,0/100001/100061/100063,Kafka
Java,Hadoop组件/工具,Hadoop,100064,0/100001/100061/100064,Hadoop
Java,Hadoop组件/工具,Hbase,100065,0/100001/100061/100065,Hbase
Java,运维工具,Docker,100067,0/100001/100066/100067,Docker
Java,运维工具,Tomcat,100068,0/100001/100066/100068,Tomcat
Java,运维工具,Weblogic,100069,0/100001/100066/100069,Weblogic
C/C++,计算机语言方向,Golang,100072,0/100070/100071/100072,Golang
C/C++,计算机语言方向,Lua,100073,0/100070/100071/100073,Lua
C/C++,计算机语言方向,SQL,100074,0/100070/100071/100074,SQL
C/C++,计算机语言方向,Shell,100075,0/100070/100071/100075,Shell
C/C++,计算机语言方向,Python,100076,0/100070/100071/100076,Python
C/C++,计算机语言方向,C/C++,100077,0/100070/100071/100077,C/C++
C/C++,技术工作内容,架构设计,100079,0/100070/100078/100079,"架构设计,Architecture Design"
C/C++,技术工作内容,图像处理,100080,0/100070/100078/100080,"图像处理,Image Processing"
C/C++,技术工作内容,嵌入式开发,100081,0/100070/100078/100081,"嵌入式开发,Embedded Development"
C/C++,技术类型,音视频编解码,100083,0/100070/100082/100083,"音视频编解码,Audio and video codec"
C/C++,技术类型,流媒体技术,100084,0/100070/100082/100084,"流媒体技术,Streaming Media Technology"
C/C++,技术类型,Socket技术,100085,0/100070/100082/100085,"Socket技术,Socket Technology"
C/C++,技术类型,分布式技术,100086,0/100070/100082/100086,"分布式技术,Distributed Technology"
C/C++,技术类型,网络协议,100087,0/100070/100082/100087,"网络协议,Network Protocol"
C/C++,技术类型,多进程,100088,0/100070/100082/100088,"多进程,Multi-process"
C/C++,技术类型,消息队列,100089,0/100070/100082/100089,"消息队列,Message Queues"
C/C++,技术类型,网络编程,100090,0/100070/100082/100090,"网络编程,Network Programming"
C/C++,技术类型,数据结构,100091,0/100070/100082/100091,"数据结构,Data Structure"
C/C++,技术类型,多线程,100092,0/100070/100082/100092,"多线程,Multithreading"
C/C++,软件开发方向,游戏开发,100094,0/100070/100093/100094,"游戏开发,Game Development"
C/C++,软件开发方向,服务端开发,100095,0/100070/100093/100095,"服务端开发,Server-side Development"
C/C++,软件开发方向,逆向开发,100096,0/100070/100093/100096,"逆向开发,Reverse Engineering"
C/C++,软件开发方向,客户端开发,100097,0/100070/100093/100097,"客户端开发,Client-side Development"
C/C++,系统类型,Linux,100099,0/100070/100098/100099,Linux
C/C++,系统类型,Unix,100100,0/100070/100098/100100,Unix
C/C++,系统类型,RTOS,100101,0/100070/100098/100101,RTOS
C/C++,系统类型,Windows,100102,0/100070/100098/100102,Windows
C/C++,系统类型,FreeRTOS,100103,0/100070/100098/100103,FreeRTOS
C/C++,系统类型,嵌入式Linux,100104,0/100070/100098/100104,"嵌入式Linux,Embedded Linux"
C/C++,系统类型,RT-Thread,100105,0/100070/100098/100105,RT-Thread
C/C++,系统类型,UCOS,100106,0/100070/100098/100106,UCOS
C/C++,后端框架,QT,100108,0/100070/100107/100108,QT
C/C++,后端框架,MFC,100109,0/100070/100107/100109,MFC
C/C++,软件开发工具,Makefile,100111,0/100070/100110/100111,Makefile
C/C++,软件开发工具,SVN,100112,0/100070/100110/100112,SVN
C/C++,软件开发工具,ActiveX,100113,0/100070/100110/100113,ActiveX
C/C++,软件开发工具,Cmake,100114,0/100070/100110/100114,Cmake
C/C++,软件开发工具,CUDA,100115,0/100070/100110/100115,CUDA
C/C++,软件开发工具,STL,100116,0/100070/100110/100116,STL
C/C++,软件开发工具,WinDbg,100117,0/100070/100110/100117,WinDbg
C/C++,软件开发工具,OpenCV,100118,0/100070/100110/100118,OpenCV
C/C++,软件开发工具,OpenGL,100119,0/100070/100110/100119,OpenGL
C/C++,硬件工作方向,驱动开发,100121,0/100070/100120/100121,"驱动开发,Driver Development"
C/C++,硬件工作方向,ARM开发,100122,0/100070/100120/100122,"ARM开发,ARM Development"
C/C++,数据库类型,Oracle,100124,0/100070/100123/100124,Oracle
C/C++,数据库类型,MySQL,100125,0/100070/100123/100125,MySQL
C/C++,数据库类型,SQL Server,100126,0/100070/100123/100126,SQL Server
C/C++,运维工具,Docker,100128,0/100070/100127/100128,Docker
C/C++,运维工具,Kubernetes,100129,0/100070/100127/100129,Kubernetes
PHP,计算机语言方向,C#,100132,0/100130/100131/100132,C#
PHP,计算机语言方向,Golang,100133,0/100130/100131/100133,Golang
PHP,计算机语言方向,CSS,100134,0/100130/100131/100134,CSS
PHP,计算机语言方向,SQL,100135,0/100130/100131/100135,SQL
PHP,计算机语言方向,Python,100136,0/100130/100131/100136,Python
PHP,计算机语言方向,C/C++,100137,0/100130/100131/100137,C/C++
PHP,计算机语言方向,HTML5,100138,0/100130/100131/100138,HTML5
PHP,计算机语言方向,Java,100139,0/100130/100131/100139,Java
PHP,计算机语言方向,HTML,100140,0/100130/100131/100140,HTML
PHP,计算机语言方向,Perl,100141,0/100130/100131/100141,Perl
PHP,软件开发方向,游戏开发,100143,0/100130/100142/100143,"游戏开发,Game Development"
PHP,软件开发方向,.NET开发,100144,0/100130/100142/100144,".NET开发,.NET Development"
PHP,软件开发方向,后端开发,100145,0/100130/100142/100145,"后端开发,Backend Development"
PHP,软件开发方向,Node.js开发,100146,0/100130/100142/100146,"Node.js开发,Node.js Development"
PHP,软件开发方向,前端开发,100147,0/100130/100142/100147,"前端开发,Front-end development"
PHP,系统类型,Linux,100149,0/100130/100148/100149,Linux
PHP,系统类型,Unix,100150,0/100130/100148/100150,Unix
PHP,系统类型,Android,100151,0/100130/100148/100151,Android
PHP,系统类型,小程序,100152,0/100130/100148/100152,"小程序,Mini Programs"
PHP,后端框架,Laravel,100154,0/100130/100153/100154,Laravel
PHP,后端框架,ThinkPHP,100155,0/100130/100153/100155,ThinkPHP
PHP,后端框架,Codelgniter,100156,0/100130/100153/100156,Codelgniter
PHP,后端框架,Phalcon,100157,0/100130/100153/100157,Phalcon
PHP,后端框架,Zend Framework,100158,0/100130/100153/100158,Zend Framework
PHP,后端框架,Yii2,100159,0/100130/100153/100159,Yii2
PHP,后端框架,Symfony,100160,0/100130/100153/100160,Symfony
PHP,软件开发工具,WordPress,100162,0/100130/100161/100162,WordPress
PHP,软件开发工具,JSON,100163,0/100130/100161/100163,JSON
PHP,软件开发工具,LAMP,100164,0/100130/100161/100164,LAMP
PHP,软件开发工具,LNMP,100165,0/100130/100161/100165,LNMP
PHP,软件开发工具,Smarty,100166,0/100130/100161/100166,Smarty
PHP,数据库类型,NoSQL,100168,0/100130/100167/100168,NoSQL
PHP,数据库类型,MySQL,100169,0/100130/100167/100169,MySQL
PHP,数据库类型,Redis,100170,0/100130/100167/100170,Redis
PHP,数据库类型,SQL Server,100171,0/100130/100167/100171,SQL Server
PHP,数据库类型,MongoDB,100172,0/100130/100167/100172,MongoDB
PHP,运维工具,Docker,100174,0/100130/100173/100174,Docker
PHP,运维工具,Kubernetes,100175,0/100130/100173/100175,Kubernetes
Python,计算机语言方向,Golang,100178,0/100176/100177/100178,Golang
Python,计算机语言方向,SQL,100179,0/100176/100177/100179,SQL
Python,计算机语言方向,Java,100180,0/100176/100177/100180,Java
Python,技术工作内容,架构设计,100182,0/100176/100181/100182,"架构设计,Architecture Design"
Python,技术工作内容,数据抓取,100183,0/100176/100181/100183,"数据抓取,Data Scraping"
Python,技术工作内容,网络爬虫,100184,0/100176/100181/100184,"网络爬虫,Web crawler"
Python,技术类型,容器技术,100186,0/100176/100185/100186,"容器技术,Container Technology"
Python,技术类型,Socket技术,100187,0/100176/100185/100187,"Socket技术,Socket Technology"
Python,技术类型,虚拟机技术,100188,0/100176/100185/100188,"虚拟机技术,Virtual Machine Technology"
Python,技术类型,分布式技术,100189,0/100176/100185/100189,"分布式技术,Distributed Technology"
Python,系统类型,Linux,100191,0/100176/100190/100191,Linux
Python,系统类型,Unix,100192,0/100176/100190/100192,Unix
Python,系统类型,Windows,100193,0/100176/100190/100193,Windows
Python,后端框架,Flask,100195,0/100176/100194/100195,Flask
Python,后端框架,Spring,100196,0/100176/100194/100196,Spring
Python,后端框架,Hibernate,100197,0/100176/100194/100197,Hibernate
Python,后端框架,Nutch,100198,0/100176/100194/100198,Nutch
Python,后端框架,Heritrix,100199,0/100176/100194/100199,Heritrix
Python,后端框架,SQLAlchemy,100200,0/100176/100194/100200,SQLAlchemy
Python,后端框架,WebMagic,100201,0/100176/100194/100201,WebMagic
Python,后端框架,Tornado,100202,0/100176/100194/100202,Tornado
Python,后端框架,Django,100203,0/100176/100194/100203,Django
Python,后端框架,Pyspider,100204,0/100176/100194/100204,Pyspider
Python,后端框架,Scrapy,100205,0/100176/100194/100205,Scrapy
Python,软件开发工具,Framework,100207,0/100176/100206/100207,Framework
Python,软件开发工具,Jenkins,100208,0/100176/100206/100208,Jenkins
Python,软件开发工具,Celery,100209,0/100176/100206/100209,Celery
Python,软件开发工具,FastDFS,100210,0/100176/100206/100210,FastDFS
Python,软件开发工具,PyCharm,100211,0/100176/100206/100211,PyCharm
Python,软件开发工具,RabbitMQ,100212,0/100176/100206/100212,RabbitMQ
Python,软件开发工具,XPath,100213,0/100176/100206/100213,XPath
Python,深度学习框架,TensorFlow,100215,0/100176/100214/100215,TensorFlow
Python,深度学习框架,Caffe,100216,0/100176/100214/100216,Caffe
Python,深度学习框架,MXNet,100217,0/100176/100214/100217,MXNet
Python,数据职能,数据挖掘,100219,0/100176/100218/100219,"数据挖掘,Data Mining"
Python,数据职能,数据采集,100220,0/100176/100218/100220,"数据采集,Data collection"
Python,数据库类型,PostgreSQL,100222,0/100176/100221/100222,PostgreSQL
Python,数据库类型,MySQL,100223,0/100176/100221/100223,MySQL
Python,数据库类型,Redis,100224,0/100176/100221/100224,Redis
Python,数据库类型,MongoDB,100225,0/100176/100221/100225,MongoDB
Python,Hadoop组件/工具,Spark,100227,0/100176/100226/100227,Spark
