"一级","二级","职位名","职位id","职位编码","别名"
财务/人力资源/行政,行政/后勤/文秘,后勤/总务,100801,"0/100860/100916/100801","后勤/总务,后勤负责人,总务负责人,总务担当,后勤担当,总务课长,后勤课长,总务岗,后勤岗,Logistics/General Affairs"
财务/人力资源/行政,人力资源,首席人力资源官CHO/HRVP,100862,"0/100860/100861/100862","首席人力资源官CHO/HRVP,首席人力,人力资源VP,人力VP,人事VP,首席人事,HRVP,CHO,首席人才,Chief Human Resources Officer (CHO)/HRVP"
财务/人力资源/行政,人力资源,人力资源总监HRD,100863,"0/100860/100861/100863","人力资源总监HRD,人事部长,HRD GENERAL MANAGER,HRD部长,人力总监,人事总经理,人事GENERAL MANAGER,人事总监,人力GENERAL MANAGER,STAFFING总监,STAFFING部长,人力HEAD,HR总监,人力部长,STAFFING DIRECTOR,HRD,HRD总经理,HRD总监,人事HEAD,STAFFING总经理,HRD DIRECTOR,人事DIRECTOR,人力DIRECTOR,STAFFING GENERAL MANAGER,HRD HEAD,人力总经理,STAFFING HEAD,人事行政总监"
财务/人力资源/行政,人力资源,人力资源经理/主管HRM,100864,"0/100860/100861/100864","人力资源经理/主管HRM,人力MANAGER,人力LEAD,HR经理,人事SUPERVISOR,HRM SUPERVISOR,HRM LEAD,综合管理部,HRM LEADER,HR主管,HR主任,人事主管,综合管理部LEAD,人事负责人,综合管理部经理,HRM,人事LEADER,HRM MANAGER,综合管理部主任,HR负责人,人事LEAD,HR MANAGER,人力LEADER,综合管理部MANAGER,HR LEAD,人事经理,人力SUPERVISOR,STAFFING负责人,HRM经理,人力主管,综合管理部SUPERVISOR,人力主任,HRM负责人,HRM主任,HR LEADER,HRM主管,人力负责人,人事主任,综合管理部负责人,综合管理部LEADER,人力经理,HR SUPERVISOR,人事行政负责人,人事MANAGER,综合管理部主管,STAFFING MANAGER,STAFFING LEAD,STAFFING LEADER,STAFFING SUPERVISOR,STAFFING主任,STAFFING主管,STAFFING经理,人事行政LEAD,人事行政LEADER,人事行政主管,人事行政MANAGER,人事行政SUPERVISOR,人事行政经理,人事行政主任,Human Resources Manager/Supervisor (HRM)"
财务/人力资源/行政,人力资源,人力资源专员/助理HR,100865,"0/100860/100861/100865","人力资源专员/助理HR,人力专员,人事行政助理,HR助理,人事助理,HR担当,人力助理,人事ASSISTANT,HR专员,人事SPECIALIST,人事担当,HR SPECIALIST,人事OFFICER,HR ASSISTANT,人力SPECIALIST,人力ASSISTANT,HR OFFICER,人力担当,STAFFING助理,人事专员,人力OFFICER,人事行政ASSISTANT,人事行政OFFICER,人事行政SPECIALIST,人事行政专员,人事行政担当,人力岗,人事岗,STAFFING专员,STAFFING担当,STAFFING ASSISTANT,STAFFING OFFICER,STAFFING SPECIALIST,Human Resources Specialist/HR Assistant"
财务/人力资源/行政,人力资源,招聘总监,100866,"0/100860/100861/100866","招聘总监,TALENT ACQUISITION总监,RECUITER HEAD,招聘总经理,招聘HEAD,RECUITER部长,招聘GENERAL MANAGER,TALENT ACQUISITION部长,RECUITER总监,RESUIT总监,RECUITER总经理,RECUITER GENERAL MANAGER,TALENT ACQUISITION GENERAL MANAGER,TALENT ACQUISITION HEAD,TALENT ACQUISITION总经理,TALENT ACQUISITION DIRECTOR,RECUITER DIRECTOR,RESUIT HEAD,RESUIT总经理,RESUIT部长,招聘DIRECTOR,招聘部长,RESUIT GENERAL MANAGER,RESUIT DIRECTOR,Recruitment Director"
财务/人力资源/行政,人力资源,招聘经理/主管,100867,"0/100860/100861/100867","招聘经理/主管,招聘主任,TALENT ACQUISITION主任,招聘LEAD,TALENT ACQUISITION经理,招聘SUPERVISOR,招聘LEADER,TALENT ACQUISITION主管,RECUITER负责人,RECUITER MANAGER,RECUITER主管,RECUITER LEADER,RECUITER主任,招聘MANAGER,TALENT ACQUISITION MANAGER,RECUITER经理,招聘主管,招聘经理,TALENT ACQUISITION LEADER,TALENT ACQUISITION SUPERVISOR,招聘负责人,RECUITER LEAD,TALENT ACQUISITION LEAD,RECUITER SUPERVISOR,TALENT ACQUISITION负责人,Recruitment Manager/Supervisor"
财务/人力资源/行政,人力资源,招聘专员/助理,100868,"0/100860/100861/100868","招聘专员/助理,RECUITER专员,招聘助理,RECUITER ASSISTANT,TALENT ACQUISITION专员,招聘ASSISTANT,RECUITER担当,TALENT ACQUISITION SPECIALIST,TALENT ACQUISITION OFFICER,TALENT ACQUISITION顾问,招聘顾问,TALENT ACQUISITION ASSISTANT,RECUITER OFFICER,RECUITER SPECIALIST,招聘OFFICER,TALENT ACQUISITION担当,RECUITER顾问,招聘担当,招聘SPECIALIST,RECUITER助理,TALENT ACQUISITION助理,招聘专员,招聘岗,Recruitment Specialist/Assistant"
财务/人力资源/行政,人力资源,培训总监,100869,"0/100860/100861/100869","培训总监,培训GENERAL MANAGER,TRAINING DIRECTOR,TRAINING部长,培训HEAD,培训总经理,TRAINING总经理,TRAINING总监,培训DIRECTOR,培训部长,TRAINING HEAD,TRAINING GENERAL MANAGER"
财务/人力资源/行政,人力资源,培训经理/主管,100870,"0/100860/100861/100870","培训经理/主管,TRAINING MANAGER,TRAINING LEAD,培训LEADER,培训主任,培训主管,TRAINING负责人,培训经理,TRAINING SUPERVISOR,TRAINING主管,TRAINING LEADER,培训LEAD,培训SUPERVISOR,TRAINING经理,培训MANAGER,培训负责人,TRAINING主任,Training Manager/Supervisor"
