"学校名","别名"
中国矿业大学（北京）,"中国矿业大学（北京）,中国矿业大学(北京),China University of Mining and Technology,Beijing,中国矿业大学北京,China University of Mining & Technology-Beijing"
中国地质大学（北京）,"中国地质大学（北京）,China University of Geosciences,China University of Geosciences Beijing,CUGB,中国地质大学北京,地大,北京地大,China University of Geosciences,Beijing,中国地质大学(北京)"
北方工业大学,"北方工业大学,Northern Technical University,北方工業大学,北京冶金机电学院,北方工大学,北方工大,北方工大大学,North China University of Technology"
北京大学,"北京大学,北京大学医学部,北大,PKU,北京医科大学,北京大学汉中分校,北京大学光华管理学院,Peking University"
北京交通大学,"北京交通大学,北京交大,北交大,北交交通大学,北方交通大学,北京电力高等专科学校,北京铁道学院,北京交通大學,BJTU,Beijing Jiaotong University(BJTU),Beijing jiaotong University"
北京电子科技学院,"北京电子科技学院,BESTI,Beijing Electronic Science and Technology Institute"
北京工业大学,"北京工业大学,北工大,BJUT,北京工業大學,北京艺术设计学院,北京工大,北京工业大学艺术设计学院,Beijing University of Technology"
北京航空航天大学,"北京航空航天大学,北航大学,北京航空學院,北京航天航空,北航,北京航空学院,北京航空航天大學,Beihang University"
北京化工大学,"北京化工大学,北京化工大學,化大,北化,北京化工學院,北京化工学院,北京化工,Beijing University of Chemical Technology"
北京建筑大学,"北京建筑大学,北京建筑工程学院,北建大,BUCEA,Beijing University of Civil Engineering and Architecture"
北京科技大学,"北京科技大学,北京科技大學,北科大,USTB,北科大学,北京钢铁学院,北京机械工程学院,北京科大,北科,北京科技大学机械工程学院,University of Science & Technology Beijing,University of Science and Technology Beijing"
北京理工大学,"北京理工大学,北京工业学院,北理工,BIT,北理工大学,北京理大学,北理大,北京理工,北京理工大,北理,北京理工大學,北理工大,北京理工大大学,Beijing Institute of Technology"
北京联合大学,"北京联合大学,北京联大,北京聯合大學,北联大,北京联合大学商务学院,北京联合大学广告学院,北京联合大学信息学院,北京联合大学应用文理学院,北京联合大学生物化学工程学院,Beijing Union University"
北京林业大学,"北京林业大学,Beijing Forestry University,北林大,北京林学院,北京林業大學,林大,北林,Beijing Forestry University"
北京农学院,"北京农学院,北农,BUA,Beijing University of Agriculture"
北京师范大学,"北京师范大学,北京師範大學,北师大,BNU,北京師范大學,北京师大,北师,Beijing Normal University"
北京石油化工学院,"北京石油化工学院,北京石油化工大学,北石化,BIPT,Beijing Institute of Petrochemical Technology"
北京体育大学,"北京体育大学,北体大,北体大/BSU,北体,Beijing Sport University"
北京外国语大学,"北京外国语大学,北京外国语,外语大学,北京外国语学院,北京外国語大学,北京第一外国语大学,北外,北京第一外国语学院,北京外國語學院,北京外语学校,北京外國語大學,北京外国大学,BFSU,北京外语大学,北京外语学院,北外,BFSU,Beijing Foreign Studies University"
北京信息科技大学,"北京信息科技大学,Beijing Information and Technology University,北京信息科技大學,北京信息工程学院,北京信息科大,北京信息大学,北信科大,北京信息工程學院,北京机械工业学院,信息科大,北信,Beijing Information Science and Technology University,Beijing Information Science & Technology University"
北京印刷学院,"北京印刷学院,北印,Beijing Institute Of Graphic Comminication,Beijing Institute of Graphic Communication"
北京邮电大学,"北京邮电大学,北邮 (BUPT),北京郵電大學,北京邮电学院,北邮,北京邮电大学(宏福校区),北邮大学,Beijing University of Posts and Telecommunications"
北京中医药大学,"北京中医药大学,中医药大学,北中医,北京中医学院,北京中醫藥大學,北京中医藥大學,北京中医大,北京中药大学,Beijing University of Chinese Medicine"
对外经济贸易大学,"对外经济贸易大学,University of International Business and Economics,外贸经济大学,中国金融学院,对外经贸,北京外贸学院,外经贸大学,北京对外贸易大学,对外经贸大学,北京对外贸易学院,对外经济贸易大学金融学院,经贸大学,对外经济贸易大学(校名题写:陈云),对外经济大学,贸大,對外經濟貿易大學,对外贸易经济大学,UIBE,University of International Business and Economics"
国际关系学院,"国际关系学院,北京国际关系学院,国关 & UIR,University of International Relations"
华北电力大学,"华北电力大学,华北电力大学(北京),河北电力大学,华北电大,华北电力,华北电力学院,华北电力大学保定校区,北京电力学院,华电,NCEPU,华电大学,河北电力学院,华北电力大学(保定),North China Electric Power University"
清华大学,"清华大学,清華大学,中国人民银行研究生部,清華大學,清华大学美术学院,清华美院,北京清华大学,清华,清美,清华大學,中央工艺美术学院,北京清華大學,清华大学五道口金融学院,Tsinghua University"
首都师范大学,"首都师范大学,首都師范大學,北京幼儿师范,北京市幼儿师范学校,北京幼儿师范学校,首师,北京师范学院,首都师大,首师大,首师范,北京幼师,Capital Normal University"
外交学院,"外交学院,北京外交学院,中国外交学院,外院,China Foreign Affairs University"
中国传媒大学,"中国传媒大学,CUC,中國传媒大学,中传媒,北京广播学院,北广,中传,Communication University of China"
中国科学院大学,"中国科学院大学,University of Chinese Academy of Sciences,中国科学院研究生院,国科大,中国中科院大学,中科院大学,中科院,UCAS,中科院研究生院,中国科学大学,国科大,中科院,UCAS,科院,科苑"
中国农业大学,"中国农业大学,中国农大,北京农业大学,CAU,北京农业工程大学,China Agricultural University"
中国人民大学,"中国人民大学,中國人民大学,RUC,人大,中国人民大学(苏州校区),人民大学,中國人民大學,Renmin University of China"
中国人民公安大学,"中国人民公安大学,中国公安大学,公安大学,中國人民公安大學,公大,People's Public Security University of China"
北京协和医学院,"北京协和医学院,协和医大,中国协和医学院,北京协和医学院(清华大学医学部),协和医学院,协和,协和医科大学,北京协和医科大学,中国协和医科大学,协和医科大,Peking Union Medical College"
中国音乐学院,"中国音乐学院,国音,China Conservatory of Music"
中国政法大学,"中国政法大学,China University of Political Science and Law,中政大,北京政法学院,中國政法大学,政法大学,中国政法,中國政法大學,法大,China University of Political Science and Law"
中央财经大学,"中央财经大学,中央财大,中财大,中央財經大學,中财,中央财政学院,Central University of Finance and Economics"
中央美术学院,"中央美术学院,央美,CAFA,中央美院,中央美術學院,Central Academy of Fine Arts"
中央民族大学,"中央民族大学,Central University For Nationalities,民大,中央民族学院,中央民大,中国民族大学,Minzu University of China"
中央戏剧学院,"中央戏剧学院,中央戲劇学院,中戏,The Central Academy Of Drama"
中央音乐学院,"中央音乐学院,央音,Central Conservatory of Music"
中国石油大学（北京）,"中国石油大学（北京）,China University of Petroleum,China University of Petroleum Beijing,石油大学,中国石油大学(北京)克拉玛依校区,中国石油大学北京,China University of Petroleum, Beijing"
河北工业大学,"河北工业大学,河工大,HEBUT,河北工大学,河北工学院,河北工大,Hebei University of Technology"
南开大学,"南开大学,南开,南开大學,NKU,Nankai University"
天津大学,"天津大学,天大,TJU,TianjinUniversity,Tianjin University"
天津工业大学,"天津工业大学,天津工業大學,工业职业技术学院,天工大,天津工大,天津工業大学,天津工业大学应用技术学院,天工大·TJPU,天津市工业大学,Tianjin Polytechnic University,Tiangong University"
天津科技大学,"天津科技大学,University Of Science and Technology Of Tianjin,天津科技大學,天科大,天津輕工業學院,天津轻工业学院,天科大 天津科大 TUST,天津科大,Tianjin University of Science & Technology,Tianjin University of Science and Technology"
天津理工大学,"天津理工大学,Institutes Of Technology Of Tianjin,天津理工,天津理工学院,天理工,天津理工大學,Tianjin University of Technology"
天津美术学院,"天津美术学院,天津美院,TAFA,天津美术院,天津美院,TAFA,Tianjin Academy of Fine Arts"
天津师范大学,"天津师范大学,天津師範大學,TJNU,天津師範大学,天津师大,天津师范学院,天津師范大學,Tianjin Normal University(TJNU),Tianjin Normal University"
天津医科大学,"天津医科大学,Medical University Of Tianjin,天津医学大学,天津医大,Tianjin Medical University"
天津中医药大学,"天津中医药大学,天中,TUTCM,天津中医大学,天津医药大学,天津中医学院,天津中医药学大学,天中,TUTCM,Tianjin University of Traditional Chinese Medicine"
中国民航大学,"中国民航大学,中国民用航空学院,航大,民航学院,中航大,中航大学,Civil Aviation University of China"
河北大学,"河北大学,University Of Hebei,河北大学医学部,河北职工医学院,河北大學,河北省职工医学院,天津工商学院,河大,HBU,Hebei University"
河北工程大学,"河北工程大学,河北工程大學,河北工程,HUE,河北建筑科技学院,河北工程学院,河北工程學院,Hebei University of Engineering"
河北科技大学,"河北科技大学,University Of Science and Technology Of Hebei,河北科大,HEBUST,河北科学大学,河北科技大學,河北科大学,Hebei University of Science & Technology,Hebei University of Science and Technology"
河北农业大学,"河北农业大学,Agricultural University Of Hebei,河北农大,AUH,Hebei Agricultural University"
河北师范大学,"河北师范大学,河北师大,HEBNU,河北师范学院,河北師范大學,河北师范,河北師範學院,Hebei Normal University"
石家庄铁道大学,"石家庄铁道大学,铁道兵工程学院,铁大,STU,石家庄铁道学院,Shijiazhuang Tiedao University"
燕山大学,"燕山大学,哈尔滨工业大学重型机械学院,燕大,YSU,东北重型机械学院,燕山大學,Yanshan University"
华北理工大学,"华北理工大学,华北煤炭医学院,河北理工大学,华北理工迁安学院,河北联大,华北煤炭学院,华北理工大学迁安学院,华北理工,华北理工大学研究生学院,河北联合大学,NorthChina University of Science and Technology,North China University of Science and Technology"
山西大学,"山西大学,山西大學,Shanxi University"
山西农业大学,"山西农业大学,Agricultural University Of Shanxi,山西农大,SXAU,山西農业大学,Shanxi Agricultural University"
山西师范大学,"山西师范大学,山西師范大学,山西师范,山西师大,sxnu,山西师范学院,Shanxi Normal University"
太原科技大学,"太原科技大学,University Of Science and Technology Of Taiyuan,太原科大,太原重型機械学院,太原重型机械学院,Taiyuan University of Science and Technology"
太原理工大学,"太原理工大学,Institutes Of Technology Of Taiyuan,太原理工大,太原理工大學,太原理工,太原工业大学,山西矿业学院,TUT,TYUT,太原工学院,太原理工,TUT,TYUT,Taiyuan University of Technology"
中北大学,"中北大学,Beijing University Studies,NUC,中北,山西中北大学,华北工学院,太原机械学院,North University of China"
渤海大学,"渤海大学,錦州師範学院,渤大,锦州师范学院,Bohai University"
大连大学,"大连大学,University Of Dalian,连大,DLU,Dalian University"
大连工业大学,"大连工业大学,大連工業大學,大連輕工業學院,大连工大,dlpu,大连轻工业学院,大连工大,dlpu,Dalian Polytechnic University"
大连海事大学,"大连海事大学,Maritime Affairs University Of Dalian,大连海大,海大,大连海大(DMU),DMU,海大,大连海大(DMU),Dalian Maritime University(DMU),Dalian Maritime University"
大连理工大学,"大连理工大学,DUT,大工,DUT,大連理工大學,大连理工,大连工学院,大連理工大学,大工,大连理工大学盘锦校区,大连理工大學,大理理工大学,大连理工大学数学科学学院,Dalian University of Technology"
大连交通大学,"大连交通大学,大连交大,大连交通,大连铁道学院,大连交通学院,大连交大,大连交通,Dalian Jiaotong University"
东北大学,"东北大学,Tohoku University,NEU,沈阳东北大学,东北大学秦皇岛分校,东北工学院,东北大學,东大,Northeastern University"
辽宁大学,"辽宁大学,遼寧大學,遼寧大学,辽大,沈阳市辽宁大学,Liaoning University"
辽宁工程技术大学,"辽宁工程技术大学,Liaoning Project Technology University,遼寧工程技術大学,辽工大,遼寧工程技術大學,阜新矿业学院,辽宁工大,Liaoning Technical University"
辽宁工业大学,"辽宁工业大学,辽工,辽宁工大,辽宁工学院,Liaoning University of Technology"
辽宁科技大学,"辽宁科技大学,USTL,辽宁科大,辽科大,鞍山科技大学,鞍山钢铁学院,University of Science and Technology Liaoning (USTL),University of Science and Technology Liaoning"
辽宁师范大学,"辽宁师范大学,辽师大,遼寧師範大学,辽宁师大,Liaoning Normal University"
辽宁石油化工大学,"辽宁石油化工大学,辽宁石油化工学院,辽宁化工大学,辽宁石油化工大学职业技术学院,辽宁石化大学,辽石化,辽宁石化工大学,辽宁石油化工大学矿业工程学院,辽宁石油大学,抚顺石油学院,辽宁石化,Liaoning shihua University"
沈阳大学,"沈阳大学,University Of Shenyang,沈陽大學,沈大,SYU,Shenyang University"
沈阳工业大学,"沈阳工业大学,Shenyang Polytechnic University,沈阳工業大学,沈阳工大,沈工大,Shenyang University of Technology"
沈阳航空航天大学,"沈阳航空航天大学,沈阳航空工业学院,沈航,Shenyang Aerospace University"
沈阳化工大学,"沈阳化工大学,沈阳化工,沈阳化工学院,Shenyang University of Chemical Technology"
沈阳建筑大学,"沈阳建筑大学,沈阳建筑工程学院,沈建大,Shenyang Jianzhu University"
沈阳理工大学,"沈阳理工大学,沈理工,SYLU,沈阳理工大學,沈阳工业学院,沈陽理工大學,Shenyang Ligong University"
沈阳农业大学,"沈阳农业大学,Agricultural University Of Shenyang,沈农,SYAU,沈阳农大,沈阳农学院,Shenyang Agricultural University"
沈阳师范大学,"沈阳师范大学,沈师大,SNU,沈阳师范学大学,沈阳师大,沈阳师范学院,Shenyang Normal University"
北华大学,"北华大学,吉林師範學院,北华,BHU,吉林医学院,吉林师范学院,吉林电气化专科学校,北華大學,吉林北華大學,吉林北华大学,北華大学,吉林市北华大学,吉林电气化高等专科学校,吉林師范學院,吉林林学院,Beihua University"
长春工业大学,"长春工业大学,長春工業大學,吉林工学院,長春工業大学,长春工大,CCUT,Changchun University of Technology"
长春理工大学,"长春理工大学,长春光机学院,吉林科学技术大学,CUST,长春光学精密机械学院,Changchun University of Science and Technology"
东北电力大学,"东北电力大学,东北电力学院,東北電力大學,东电,東北電力大学,东北电大,NEEPU,NortheastElectricPower University,Northeast Electric Power University"
东北师范大学,"东北师范大学,東北師範大学,东北师大,東北師範大學,汉:东北师大 英:NENU,Northeast Normal University"
吉林大学,"吉林大学,吉大大学,长春地质学院,长春邮电学院,JLU,长春科技大学,吉林大学南湖校区,吉林大學,吉林工业大学,中国人民解放军军需大学,白求恩医科大学,长春市吉林大学,吉大,Jilin University"
吉林农业大学,"吉林农业大学,吉农大,吉林农大,Jilin Agricultural University"
延边大学,"延边大学,延邊大學,延大,吉林省延边大学,YBU,Yanbian University,연변대학,Yanbian University，연변대학,Yanbian University"
中国人民解放军海军军医大学,"中国人民解放军海军军医大学,The Second Military Medical University,上海第二军医大学,中国人民第二军医大学,海军军医大学(第二军医大学),解放军第二军医大学,第二军医大,海军军医大学,第二军医大学,中国人民解放军海军军医大学 (第二军医大学),二军大,Naval Medical University"
东华大学,"东华大学,National Dong Hwa University,DHU,東華大學,東华大学,华东纺织工学院,中国纺织大学,上海东华大学,东华,上海東華大學,东华大學,東華大学,中國纺织大学,上海纺织高等专科学校,Donghua University"
复旦大学,"复旦大学,上海复旦大学,復旦大学,上海复旦大學,复旦大学药学院,复旦·FUDAN,上海医科大学,上海復旦大學,复旦大学上海医学院,復旦,上海複旦大学,上海復旦大学,复旦,复旦药学院,Fudan University"
上海交通大学,"上海交通大学,上海交大,Shanghai Jiaotong University,上交大,上海交通大学闵行校区,交大,上海第二医科大学,闵行交大,闵行理工学院,上海交通大学农业与生物学院,上海交通大學,上海市交通大学,上海农学院,SJTU,上海交通大学医学院,Shanghai Jiao Tong University"
华东理工大学,"华东理工大学,华理,華東化工學院,华东理工,ECUST,華東理工大学,華東理工,華東理工大學,華东理工大学,华东化工学院,East China University of Science and Technology"
华东师范大学,"华东师范大学,华东师范,華東師範,华东师大,ECNU,上海教育学院,华东師範大学,华师范,上海華東師範大學,華東師范大學,華東師範大學,华东师大学,华师大,East China Normal University"
上海财经大学,"上海财经大学,Shanghai University of Finance and Economics (SUFE),财大科技园,上海财大,SUFE,上财,上海财经大学科技园,Shanghai University of Finance and Economics"
