"标签名","学校名"
"211",中国矿业大学（北京）
"211",中国地质大学（北京）
"211",北京大学
"211",北京交通大学
"211",北京工业大学
"211",北京航空航天大学
"211",北京化工大学
"211",北京科技大学
"211",北京理工大学
"211",北京林业大学
"211",北京师范大学
"211",北京体育大学
"211",北京外国语大学
"211",北京邮电大学
"211",北京中医药大学
"211",对外经济贸易大学
"211",华北电力大学
"211",清华大学
"211",中国传媒大学
"211",中国农业大学
"211",中国人民大学
"211",中国政法大学
"211",中央财经大学
"211",中央民族大学
"211",中央音乐学院
"211",中国石油大学（北京）
"211",河北工业大学
"211",南开大学
"211",天津大学
"211",天津医科大学
"211",太原理工大学
"211",大连海事大学
"211",大连理工大学
"211",东北大学
"211",辽宁大学
"211",东北师范大学
"211",吉林大学
"211",延边大学
"211",中国人民解放军海军军医大学
"211",东华大学
"211",复旦大学
"211",上海交通大学
"211",华东理工大学
"211",华东师范大学
"211",上海财经大学
"211",上海大学
"211",上海外国语大学
"211",同济大学
"211",河海大学
"211",南京大学
"211",南京航空航天大学
"211",东南大学
"211",南京理工大学
"211",南京农业大学
"211",南京师范大学
"211",苏州大学
"211",江南大学
"211",中国矿业大学
"211",中国药科大学
"211",浙江大学
"211",安徽大学
"211",合肥工业大学
"211",中国人民解放军国防科技大学
"211",中国科学技术大学
"211",福州大学
"211",厦门大学
"211",南昌大学
"211",山东大学
"211",中国海洋大学
"211",中国石油大学（华东）
"211",郑州大学
"211",内蒙古大学
"211",东北林业大学
"211",东北农业大学
"211",哈尔滨工程大学
"211",哈尔滨工业大学
"211",中国地质大学（武汉）
"211",华中科技大学
"211",华中农业大学
"211",华中师范大学
"211",武汉大学
"211",武汉理工大学
"211",中南财经政法大学
"211",中南大学
"211",湖南大学
"211",湖南师范大学
"211",华南理工大学
"211",华南师范大学
"211",中山大学
"211",暨南大学
"211",广西大学
"211",海南大学
"211",电子科技大学
"211",四川大学
"211",四川农业大学
"211",西南财经大学
"211",西南交通大学
"211",西南大学
"211",重庆大学
"211",贵州大学
"211",云南大学
"211",西藏大学
"211",中国人民解放军空军军医大学
"211",陕西师范大学
"211",西安电子科技大学
"211",西安交通大学
"211",西北大学
"211",西北工业大学
"211",长安大学
"211",西北农林科技大学
"211",兰州大学
"211",青海大学
"211",宁夏大学
"211",石河子大学
"211",新疆大学
双一流,中国矿业大学（北京）
双一流,中国地质大学（北京）
双一流,北京大学
双一流,北京交通大学
双一流,北京工业大学
双一流,北京航空航天大学
双一流,北京化工大学
双一流,北京科技大学
双一流,北京理工大学
双一流,北京林业大学
双一流,北京师范大学
双一流,北京体育大学
双一流,北京外国语大学
双一流,北京邮电大学
双一流,北京中医药大学
双一流,对外经济贸易大学
双一流,华北电力大学
双一流,清华大学
双一流,首都师范大学
双一流,外交学院
双一流,中国传媒大学
双一流,中国科学院大学
双一流,中国农业大学
双一流,中国人民大学
双一流,中国人民公安大学
双一流,北京协和医学院
双一流,中国音乐学院
双一流,中国政法大学
双一流,中央财经大学
双一流,中央美术学院
双一流,中央民族大学
双一流,中央戏剧学院
双一流,中央音乐学院
双一流,中国石油大学（北京）
双一流,河北工业大学
双一流,南开大学
双一流,天津大学
双一流,天津工业大学
双一流,天津医科大学
双一流,天津中医药大学
双一流,山西大学
双一流,太原理工大学
双一流,大连海事大学
双一流,大连理工大学
双一流,东北大学
双一流,辽宁大学
双一流,东北师范大学
双一流,吉林大学
双一流,延边大学
