"一级","专业名","专业id","专业编码","别名"
软件工程,软件工程,100002,"0/100001/100002","软件工程,Software Engineering"
水土保持与水环境类,水土保持技术,100004,"0/100003/100004","水土保持技术,Soil and Water Conservation Technology"
水土保持与水环境类,水环境智能监测与治理,100005,"0/100003/100005","水环境智能监测与治理,Intelligent monitoring and management of water environment"
水土保持与水环境类,水生态修复技术,100006,"0/100003/100006","水生态修复技术,Water Ecological Restoration Technology"
水土保持与水环境类,水环境智能监测与保护,100007,"0/100003/100007","水环境智能监测与保护,Intelligent monitoring and protection of water environment"
水土保持与水环境类,生态水利工程,100008,"0/100003/100008","生态水利工程,Ecological water conservancy project"
水土保持与水环境类,水环境工程,100009,"0/100003/100009","水环境工程,Water Environment Engineering"
教育学类,教育学,100011,"0/100010/100011","教育学,Education"
教育学类,科学教育,100012,"0/100010/100012","科学教育,Science Education"
教育学类,人文教育,100013,"0/100010/100013","人文教育,Humanities Education"
教育学类,教育技术学,100014,"0/100010/100014","教育技术学,Educational Technology"
教育学类,艺术教育,100015,"0/100010/100015","艺术教育,Art Education"
教育学类,学前教育,100016,"0/100010/100016","学前教育,Preschool Education"
教育学类,小学教育,100017,"0/100010/100017","小学教育,Primary Education"
教育学类,特殊教育,100018,"0/100010/100018","特殊教育,Special Education"
教育学类,华文教育,100019,"0/100010/100019","华文教育,Chinese Education"
教育学类,教育康复学,100020,"0/100010/100020","教育康复学,Educational Rehabilitation"
教育学类,卫生教育,100021,"0/100010/100021","卫生教育,Health Education"
教育学类,认知科学与技术,100022,"0/100010/100022","认知科学与技术,Cognitive Science and Technology"
教育学类,融合教育,100023,"0/100010/100023","融合教育,Inclusive Education"
教育学类,劳动教育,100024,"0/100010/100024","劳动教育,Labor Education"
教育学类,国际中文教育,100025,"0/100010/100025","国际中文教育,International Chinese Education"
教育学类,教育,100026,"0/100010/100026","教育,educate"
教育学类,体育,100027,"0/100010/100027","体育,physical education"
教育学类,体育学,100028,"0/100010/100028","体育学,Sports Science"
教育学类,心理学,100029,"0/100010/100029","心理学,psychology"
教育学类,应用心理,100030,"0/100010/100030","应用心理,Applied Psychology"
城市轨道交通类,城市轨道交通工程技术,100032,"0/100031/100032","城市轨道交通工程技术,Urban rail transit engineering technology"
城市轨道交通类,城市轨道车辆应用技术,100033,"0/100031/100033","城市轨道车辆应用技术,Urban rail vehicle application technology"
城市轨道交通类,城市轨道交通机电技术,100034,"0/100031/100034","城市轨道交通机电技术,Urban Rail Transit Electromechanical Technology"
城市轨道交通类,城市轨道交通通信信号技术,100035,"0/100031/100035","城市轨道交通通信信号技术,Urban rail transit communication signal technology"
城市轨道交通类,城市轨道交通供配电技术,100036,"0/100031/100036","城市轨道交通供配电技术,Power supply and distribution technology for urban rail transit"
