标签名,公司名
世界500强,3M公司
世界500强,ADM公司
2024全球保险品牌价值100强排行榜,AFG
2024全球保险品牌价值100强排行榜,ASR
世界500强,Achmea公司
2023年IRN100榜单前十名租赁公司,Aggreko
"2025 福布斯中国人工智能科技企业 TOP 50,2025福布斯中国人工智能科技企业TOP50",AiPPT.com(像素绽放)
"世界500强,大厂经验",Airbnb
世界500强,AlimentationCouche-Tard公司
2024全球保险品牌价值100强排行榜,Allied world
世界500强,Alphabet公司
世界500强,Altice公司
财富世界500强,Amazon 亚马逊 - 美国
世界500强,Anthem公司
财富世界500强,Apple 苹果公司 - 美国
2024全球保险品牌价值100强排行榜,Assurant
2024全球保险品牌价值100强排行榜,Athene
"世界500强,大厂经验",Atlassian
世界500强,AutoNation公司
瞪羚企业,AutoX
2024全球保险品牌价值100强排行榜,Axis Capital
世界500强,BAE系统公司
财富世界500强,BERKSHIRE HATHAWAY 伯克希尔哈撒韦 - 美国
2024全球保险品牌价值100强排行榜,Basler
世界500强,CHS公司
2024全球保险品牌价值100强排行榜,CNA
世界500强,CRH公司
财富世界500强,CVSHealth 西维斯健康 - 美国
世界500强,CVSHealth公司
"大厂经验,独角兽",Canva
世界500强,Centene公司
2025全球海运货代前十位,CevaLogistics
世界500强,Coop集团
2025全球海运货代前十位,DHL
2025全球海运货代前十位,DSV
2025福布斯中国人工智能科技企业TOP50,DeepSeek
"2025 福布斯中国人工智能科技企业 TOP 50,2025福布斯中国人工智能科技企业TOP50",Deepseek
世界500强,DollarGeneral公司
世界500强,ENTERPRISEPRODUCTSPARTNERS公司
世界500强,EXOR集团
世界500强,EmiratesGroup公司
世界500强,Enbridge公司
世界500强,EnergyTransferEquity公司
世界500强,Engie集团
世界500强,Exelon公司
世界500强,Facebook公司
世界500强,Finatis公司
2024全球保险品牌价值100强排行榜,GEICO
世界500强,GS加德士
世界500强,GileadSciences公司
2024全球保险品牌价值100强排行榜,Gjensidige
世界500强,H&M公司
世界500强,HCA公司
2024全球保险品牌价值100强排行榜,Helvetia
2024全球保险品牌价值100强排行榜,Hiscox
独角兽,IMS新媒体商业集团
世界500强,Iberdrola公司
2024全球保险品牌价值100强排行榜,If
世界500强,Inditex公司
2024全球保险品牌价值100强排行榜,Intact
世界500强,JXTG控股有限公司
2024全球保险品牌价值100强排行榜,KLP
世界500强,KOC集团
世界500强,LGDISPLAY公司
世界500强,LG电子
2025全球海运货代前十位,LXPantos
世界500强,LafargeHolcim公司
瞪羚企业,M Stand
2024全球保险品牌价值100强排行榜,MS&AD
世界500强,MS&AD保险集团控股有限公司
2024全球保险品牌价值100强排行榜,Markel
世界500强,Medipal控股公司
"世界500强,大厂经验",Meta Platform Inc
世界500强,Migros集团
"2025 福布斯中国人工智能科技企业 TOP 50,2025福布斯中国人工智能科技企业TOP50",MiniMax
2023年IRN100榜单前十名租赁公司,Modulaire
瞪羚企业,Moka希瑞亚斯
2024全球保险品牌价值100强排行榜,NN Group
2024全球保险品牌价值100强排行榜,NRMA Insurance
"世界500强,大厂经验",Netflix
"中国500强,大厂经验",OPPO广东移动通信有限公司
2024全球保险品牌价值100强排行榜,OdysseyRe
世界500强,Onex公司
2025 全球独角兽榜,OpenAI
世界500强,Orange公司
世界500强,PHOENIXPHARMAHANDEL公司
2024全球保险品牌价值100强排行榜,PZU
世界500强,Phillips66公司
大厂经验,Pinterest
2024全球保险品牌价值100强排行榜,Pru
世界500强,RajeshExports公司
2025 福布斯中国人工智能科技企业 TOP 50 评选,S-instant 瞬息宇宙
世界500强,SAP公司
2024全球保险品牌价值100强排行榜,SBI Life Insurance Company Limited
世界500强,SK集团
世界500强,SNCFMobilités公司
"世界500强,大厂经验",Salesforce
世界500强,Seven&I控股公司
"世界500强,大厂经验",Shopify
2025 全球独角兽榜,SpaceX
"大厂经验,独角兽",Stripe
2024全球保险品牌价值100强排行榜,Suncorp
"上市公司,中国500强,区域百强",TCL集团股份有限公司
2024全球保险品牌价值100强排行榜,TD Insurance
世界500强,TJX公司
瞪羚企业,TT语音
世界500强,Talanx公司
世界500强,TechData公司
世界500强,Tesoro公司
世界500强,TravelersCos.公司
2024全球保险品牌价值100强排行榜,Tryg
"世界500强,大厂经验",Twitter
2024全球保险品牌价值100强排行榜,UNIQA
世界500强,USFoodsHolding公司
"世界500强,大厂经验",Uber
世界500强,Ultrapar控股公司
世界500强,Uniper公司
2024全球保险品牌价值100强排行榜,UnipolSai
财富世界500强,UnitedHealth 联合健康 - 美国
2024全球保险品牌价值100强排行榜,Unum
2024全球保险品牌价值100强排行榜,Versicherungskammer
2024全球保险品牌价值100强排行榜,W.R. Berkley Corporation
财富世界500强,Walmart 沃尔玛 - 美国
2023年IRN100榜单前十名租赁公司,WillScotMobileMiniHoldingsCorp
"世界500强,大厂经验",Zoom
"2025 福布斯中国人工智能科技企业 TOP 50,2025福布斯中国人工智能科技企业TOP50",aiXcoder
"世界500强,大厂经验",eBay
2024全球保险品牌价值100强排行榜,iA Financial Group
2025 全球独角兽榜,xAI
瞪羚企业,一亩田
"2025中国药品研发综合实力TOP100,上市公司",一品红药业股份有限公司
2024年中国物业服务企业500强优选服务商智慧物业领域品牌,一应科技
瞪羚企业,一条
"上市公司,中国500强",一汽轿车股份有限公司
2023中国行政办公物业服务领先企业,一爱城市建设服务有限公司
2024年中国物业服务企业500强优选服务商智慧物业领域品牌,一碑科技
区域百强,万丰奥特控股集团有限公司
上市公司,万兴科技股份有限公司
区域百强,万利达集团有限公司
"上市公司,中国500强",万华化学集团股份有限公司
2025年中国区块链行业重点企业核心竞争力排名,万向区块链
上市公司,万向德农股份有限公司
上市公司,万向钱潮股份有限公司
世界500强,万喜集团
2025年第二季度末公募机构非货规模第31位-40位,万家基金管理有限公司
"2023中国物业增值服务运营领先企业,中国物业服务企业综合实力500强",万怡物业服务有限公司
上市公司,万方城镇投资发展股份有限公司
瞪羚企业,万有引力
上市公司,万泽实业股份有限公司
中国500强,万洲国际有限公司
2023中国智慧物业服务领先企业,万物云
2023中国写字楼物业服务领先企业,万物梁行
"2022中国房地产企业综合实力TOP100,2022中国房地产百强企业榜,2023年中国房地产企业稳健经营榜,2025 中国房地产百强企业,上市公司,世界500强,中国500强,中国房地产品牌价值排行榜前十名,区域百强,地产百强",万科企业股份有限公司
"2023中国物业增值服务运营领先企业,2023中国物业服务企业综合实力500强,中国物业服务企业综合实力500强",万联城市服务科技集团股份有限公司
"2018年（第17届）中国软件业务收入前百家企业,独角兽",万达信息科技有限公司
上市公司,万达信息股份有限公司
2023中国商业物业服务领先企业,万达商管
"2022中国房地产企业综合实力TOP100,2023年中国房地产企业稳健经营榜,地产百强",万达控股集团有限公司
上市公司,万达电影股份有限公司
世界500强,万通互惠理财
上市公司,万通智控科技股份有限公司
上市公司,万邦德新材股份有限公司
上市公司,万马科技股份有限公司
瞪羚企业,三一筑工
"上市公司,中国500强",三一重工股份有限公司
"2024年中国银行业前100名单,中国银行业100强榜单",三井住友银行（中国）
世界500强,三井物产株式会社
上市公司,三全食品股份有限公司
区域百强,三六一度(中国)有限公司
"中国500强,大厂经验",三六零安全科技股份有限公司
独角兽,三六零数字安全科技集团有限公司
上市公司,三力士股份有限公司
上市公司,三变科技股份有限公司
上市公司,三安光电股份有限公司
区域百强,三宝冶金(福建)集团股份有限公司
上市公司,三川智慧科技股份有限公司
世界500强,三星C&T公司
世界500强,三星人寿保险
2024全球保险品牌价值100强排行榜,三星火灾海上保险
2024全球保险品牌价值100强排行榜,三星生命保险
世界500强,三星电子
驰名商标,三棵树涂料股份有限公司 - 莆田市 - 建筑涂料
上市公司,三湘印象股份有限公司
地产百强,三盛集团有限公司
瞪羚企业,三维家
上市公司,三维通信股份有限公司
独角兽,三胞国际医疗集团
区域百强,三花控股集团有限公司
世界500强,三菱化学控股
世界500强,三菱商事株式会社
世界500强,三菱日联金融集团
"2024年中国银行业前100名单,中国银行业100强榜单",三菱日联银行（中国）
世界500强,三菱电机股份有限公司
上市公司,三诺生物传感股份有限公司
瞪羚企业,三顿半
区域百强,三鼎控股集团有限公司
"2022中国房地产企业综合实力TOP100,地产百强",上坤地产集团有限公司
2022中国房地产企业综合实力TOP100,上实城开
"2023中国公众物业服务领先企业,2023中国品质物业服务领先企业,2023中国物业服务企业综合实力500强,2023中国物业服务市场化运营领先企业,2023中国行政办公物业服务领先企业,中国物业服务企业综合实力500强",上实服务
上市公司,上工申贝(集团)股份有限公司
"2025中国药品研发综合实力TOP100,2025中国药品研发综合实力排行榜TOP100",上母友生区约来创儿放初月限公可
独角兽,上海七牛信息技术有限公司
上市公司,上海万业企业股份有限公司
上市公司,上海三毛企业(集团)股份有限公司
上市公司,上海三爱富新材料股份有限公司
区域百强,上海三盛宏业投资(集团)有限责任公司
"2023中国医院物业服务领先企业,中国物业服务企业综合实力500强",上海上房物业服务股份有限公司
"上市公司,中国500强",上海世茂股份有限公司
2023中国产业园区物业服务领先企业,上海东久磐易物业管理有限公司
上市公司,上海东富龙科技股份有限公司
"中国500强,区域百强",上海东方明珠新媒体股份有限公司
区域百强,上海东方电视购物有限公司
2025年第二季度末公募机构非货规模第31位-40位,上海东方证券资产管理有限公司
区域百强,上海东浩兰生国际服务贸易(集团)有限公司
中国物业服务企业综合实力500强,上海东湖物业管理有限公司
中国物业服务企业综合实力500强,上海中企物业管理有限公司
上市公司,上海中信信息发展股份有限公司
2025 中国房地产百强企业,上海中建东孚投资发展有限公司
上市公司,上海中毅达股份有限公司
上市公司,上海中西药业股份有限公司
2019年（第18届）中国软件业务收入前百家企业,上海中通吉网络技术有限公司
上市公司,上海丰华(集团)股份有限公司
"2023中国商业物业服务领先企业,2023中国物业服务企业综合实力500强,中国物业服务企业综合实力500强",上海丰诚物业管理有限公司
上市公司,上海临港控股股份有限公司
区域百强,上海临港经济发展(集团)有限公司
上市公司,上海九百股份有限公司
上市公司,上海二三四五网络控股集团股份有限公司
区域百强,上海亚泰建设集团有限公司
上市公司,上海亚通股份有限公司
上市公司,上海交大昂立股份有限公司
"上市公司,区域百强",上海交运集团股份有限公司
区域百强,上海仪电(集团)有限公司
独角兽,上海优刻得信息科技有限公司
上市公司,上海会畅通讯股份有限公司
"独角兽,科技型中小企业",上海依图网络科技有限公司
2022年信托公司行业评级A类公司榜单,上海信托
上市公司,上海兰生股份有限公司
