标签名,公司名,公司别名
世界500强,3M公司,"3M公司,3M,3M中国有限公司,3M中国"
世界500强,ADM公司,"ADM公司,ARCHER DANIELS MIDLAND,adm,adm(上海影达),上海影达影业有限公司,上海影达文化传媒有限公司"
全球保险品牌价值100强,AFG,
全球保险品牌价值100强,ASR,
世界500强,Achmea公司,"Achmea公司,ACHMEA"
IRN100前十名租赁公司,Aggreko,
"福布斯中国人工智能科技企业50强,福布斯中国人工智能科技企业50强,福布斯中国人工智能科技企业50强",像素绽放,
"世界500强,大厂经验",Airbnb,"Airbnb,爱彼迎"
世界500强,AlimentationCouche-Tard公司,"AlimentationCouche-Tard公司,ALIMENTATION COUCHE-TARD,Couche-Tard"
全球保险品牌价值100强,Allied world,
世界500强,Alphabet公司,"Alphabet公司,ALPHABET"
世界500强,Altice公司,"Altice公司,ALTICE"
世界500强,亚马逊,"亚马逊,AMAZON.COM"
世界500强,Anthem公司,"Anthem公司,ANTHEM"
"世界500强,世界500强,大厂经验",苹果公司,"苹果公司,APPLE,苹f果,苹果电脑公司"
全球保险品牌价值100强,Assurant,
全球保险品牌价值100强,Athene,
"世界500强,大厂经验",Atlassian,Atlassian
世界500强,AutoNation公司,"AutoNation公司,AUTONATION"
瞪羚企业,AutoX,
全球保险品牌价值100强,Axis Capital,
世界500强,BAE系统公司,"BAE系统公司,BAE SYSTEMS,BAE系统"
世界500强,BERKSHIRE HATHAWAY 伯克希尔哈撒韦,
全球保险品牌价值100强,Basler,
世界500强,CHS公司,"CHS公司,CHS"
全球保险品牌价值100强,CNA,
世界500强,CRH公司,"CRH公司,CRH"
世界500强,CVSHealth 西维斯健康,
世界500强,CVSHealth公司,"CVSHealth公司,CVS HEALTH,CVSHealth"
"大厂经验,独角兽",Canva,"Canva,可画"
世界500强,Centene公司,"Centene公司,CENTENE"
全球海运货代前十位,CevaLogistics,
世界500强,Coop集团,"Coop集团,COOP GROUP"
全球海运货代前十位,DHL,
全球海运货代前十位,DSV,
